Beschreibung;Kategorie;Unterkategorie;Matching
Salt Mobile;Abos;Handy Abo;
Swisscom;Abos;Handy Abo;
Sunrise;Abos;Handy Abo;
Yallo;Abos;Handy Abo;
Init7;Abos;Internet Abo;
Audible;Abos;Streaming;
Spotify;Abos;Streaming;
Apple;Abos;Streaming;
Netflix;Abos;Streaming;
Disney Plus;Abos;Streaming;
Federer Augenoptik;Anderes;Optiker;
Helsana;Fixkosten;Krankenkasse;
SERAFE;Fixkosten;Serafe;
Eventfrog;Freizeit;Eventfrog;
Alnatura;Lebensmittel;Alnatura;
Coop;Lebensmittel;Coop;
Migros;Lebensmittel;Migros;
Volg;Lebensmittel;Volg;
Denner;Lebensmittel;Volg;
Lidl;Lebensmittel;Volg;
Aldi;Lebensmittel;Volg;
RED BULL MOBILE;Reisen;Internet;
Burger King;Restaurant;Burger King;
McDonald;Restaurant;McDonald's;
MC'DONALD'S;Restaurant;McDonald's;
Negishi;Restaurant;Negishi;
Oh My Greek;Restaurant;Oh My Greek!;
Rice Up;Restaurant;Rice Up!;
SV (Schweiz) AG;Restaurant;SV Mensa;
CEWE;Shopping;Cewe Fotobuch;
CHANGEMAKER;Shopping;Changemaker;
Ikea;Shopping;Ikea;
Manor;Shopping;Manor;
Patagonia;Shopping;Patagonia;
Digitec;Shopping;Digitec Galaxus;
Galaxus;Shopping;Digitec Galaxus;
Avec;Take Away;Avec;
Bakery Bakery;Take Away;Bakery Bakery;
Brezelkonig;Take Away;Brezelkönig;
GOOODS;Take Away;Gooods;
Migrolino;Take Away;Migrolino;
TINYFISH;Take Away;Tiny Fish;
SBB;Transport;SBB;
